index,bpm,probability,time,downbeat
0,149.76857,0.934166849,0.0614512472,true
1,149.76857,0.934194446,0.261768707,false
2,149.76857,0.934469342,0.462086168,false
3,149.76857,0.934447765,0.662403628,false
4,149.76857,0.934732676,0.862857143,false
5,149.780563,0.934824169,1.06331066,false
6,149.794662,0.93510288,1.26385488,false
7,149.817337,0.935393751,1.46435374,false
8,149.839828,0.935835779,1.66482993,true
9,149.86261,0.935905397,1.86526077,false
10,149.883469,0.936355412,2.06564626,false
11,149.904144,0.93682605,2.26600907,false
12,149.925323,0.937330186,2.46634921,false
13,149.946686,0.937865436,2.66664399,false
14,149.966934,0.938382685,2.86689342,false
15,149.98555,0.938457549,3.06709751,false
16,150.002289,0.9391433,3.26725624,true
17,150.016602,0.939708292,3.46736961,false
18,150.029144,0.94036293,3.66741497,false
19,150.037491,0.941004395,3.86741497,false
20,150.042175,0.941567957,4.06739229,false
21,150.046188,0.942048788,4.26746032,false
22,150.057327,0.942710817,4.46743764,false
23,150.062042,0.943270922,4.66748299,false
24,150.072784,0.943769753,4.86759637,true
25,150.090668,0.94389379,5.06764172,false
26,150.105042,0.944385529,5.26761905,false
27,150.116119,0.944839299,5.46752834,false
28,150.123047,0.945563376,5.66739229,false
29,150.126862,0.946287513,5.86732426,false
30,150.136261,0.946732938,6.06721088,false
31,150.143661,0.947464347,6.26707483,false
32,150.149399,0.948159158,6.4669161,true
33,150.153381,0.948912382,6.66668934,false
34,150.152878,0.949622571,6.86657596,false
35,150.161301,0.950226963,7.06643991,false
36,150.168243,0.950928509,7.26623583,false
37,150.170059,0.951619148,7.46596372,false
38,150.167114,0.952364326,7.66580499,false
39,150.17363,0.95305866,7.86573696,false
40,150.187576,0.953773677,8.06562358,true
41,150.19899,0.954379976,8.26544218,false
42,150.206772,0.955054283,8.46519274,false
43,150.210434,0.955723822,8.66503401,false
44,150.221512,0.956383824,8.86482993,false
45,150.230392,0.956886113,9.06471655,false
46,150.247467,0.957505047,9.26453515,false
47,150.260941,0.958054364,9.46430839,false
48,150.272202,0.958673596,9.66403628,true
49,150.280731,0.959093571,9.86371882,false
50,150.286789,0.959568977,10.063356,false
51,150.289703,0.960174859,10.2629478,false
52,150.289261,0.960759521,10.462517,false
53,150.286407,0.961324632,10.6620408,false
54,150.279266,0.961855531,10.8615193,false
55,150.26683,0.962373316,11.0609751,false
56,150.252609,0.962860703,11.2604989,true
57,150.242035,0.963282824,11.4599773,false
58,150.226562,0.963824749,11.6594104,false
59,150.206177,0.964198947,11.8588209,false
60,150.181564,0.964712381,12.0582086,false
61,150.150864,0.96496129,12.2576417,false
62,150.120789,0.96516037,12.4571655,false
63,150.094803,0.965378702,12.6567574,false
64,150.072983,0.965601921,12.8563492,true
65,150.047592,0.965804994,13.0560317,false
66,150.027542,0.965676546,13.2557143,false
67,150.004486,0.966064274,13.4553968,false
68,149.979401,0.96526891,13.6550794,false
69,149.951904,0.964368463,13.8547619,false
70,149.9207,0.964859307,14.0546485,false
71,149.903641,0.965001166,14.2545805,false
72,149.888031,0.965010941,14.4546712,true
73,149.884644,0.965213835,14.6548073,false
74,149.883911,0.96552068,14.8549433,false
75,149.883911,0.965484381,15.0552608,false
76,149.896774,0.965597391,15.2555329,false
77,149.908081,0.964285851,15.4557823,false
78,149.919113,0.96476531,15.6561451,false
79,149.941956,0.965164959,15.8564399,false
80,149.960205,0.965242267,16.056712,true
81,149.979034,0.965124428,16.25678,false
82,149.982925,0.964990616,16.4568027,false
83,149.982925,0.964884102,16.656644,false
84,149.966766,0.964413464,16.856576,false
85,149.957428,0.963839293,17.0564626,false
86,149.944748,0.964318931,17.2564626,false
87,149.939331,0.964248896,17.4564853,false
88,149.936356,0.964214325,17.6565533,true
89,149.935394,0.964454651,17.8567347,false
90,149.944183,0.96439141,18.0568027,false
91,149.944183,0.9646191,18.2567574,false
92,149.933136,0.963946581,18.4566893,false
93,149.920212,0.963473022,18.6565986,false
94,149.904739,0.963987648,18.856712,false
95,149.903625,0.964116812,19.0568254,false
96,149.9039,0.964303493,19.2570295,true
97,149.910812,0.964624584,19.4572336,false
98,149.919113,0.96500659,19.6573243,false
99,149.919113,0.964825511,19.8573243,false
100,149.910141,0.96419543,20.0573469,false
101,149.902573,0.963836253,20.2573243,false
102,149.891525,0.964343488,20.4574376,false
103,149.890533,0.964686751,20.6576871,false
104,149.899902,0.964554965,20.8579592,true
105,149.911438,0.964435995,21.0582086,false
106,149.923309,0.964537382,21.2582993,false
107,149.923309,0.964783669,21.4584354,false
108,149.925629,0.964540601,21.6586395,false
109,149.935181,0.964089394,21.8588662,false
110,149.948151,0.964620292,22.0591837,false
111,149.968903,0.964690626,22.2594785,false
112,149.990982,0.965130448,22.4597279,true
113,150.011719,0.965215981,22.6598639,false
114,150.024811,0.965367198,22.8598186,false
115,150.024811,0.965391755,23.0597732,false
116,150.022751,0.965183616,23.2596825,false
117,150.01886,0.965250611,23.4597279,false
118,150.026276,0.965760171,23.6599093,false
119,150.045395,0.966005087,23.860068,false
120,150.06488,0.966264248,24.0602721,true
121,150.089355,0.965846241,24.2603628,false
122,150.107574,0.966181576,24.4602041,false
123,150.107574,0.96633172,24.66,false
124,150.102295,0.966544092,24.8597279,false
125,150.092285,0.966361701,25.0593878,false
126,150.075897,0.966822028,25.2590476,false
127,150.057678,0.967081666,25.4587982,false
128,150.044968,0.966991425,25.6586168,true
129,150.036041,0.966999769,25.8586848,false
130,150.046463,0.967035592,26.0586168,false
131,150.046463,0.967140794,26.2584807,false
132,150.039993,0.966777325,26.4582766,false
133,150.027603,0.965789437,26.6580499,false
134,150.012009,0.966248274,26.8579819,false
135,150.00824,0.966234863,27.0578912,false
136,150.00293,0.966354728,27.2577551,true
137,149.993546,0.966518283,27.4577551,false
138,149.994522,0.966897845,27.6577551,false
139,149.994522,0.966778755,27.8577778,false
140,149.995193,0.965932131,28.0577778,false
141,149.995789,0.965246439,28.2577324,false
142,149.992661,0.965686083,28.4575964,false
143,149.981934,0.965692699,28.657619,false
144,149.983017,0.965510845,28.8576871,true
145,149.988113,0.96528542,29.0577778,false
146,149.995346,0.965205073,29.2577778,false
147,149.995346,0.965248764,29.4577778,false
148,149.993408,0.96468389,29.6577098,false
149,149.988297,0.964377522,29.8576644,false
150,149.984177,0.964848936,30.0576871,false
151,149.985275,0.96481663,30.2577551,false
152,149.990112,0.965249538,30.4578005,true
153,149.993942,0.964792848,30.6579365,false
154,150.00473,0.965212762,30.8579138,false
155,150.00473,0.965091884,31.0577098,false
